wkt_geom,RAILID,RAILNAME,RAILTYPE,BRITUNNAME,異動日期_西元年月,SOURCE,DEFINITION,坐標系統
"MultiLineString ((207893.44549999927403405 2603578.00689999898895621, 207896.36669999928562902 2603578.08030000003054738, 207901.21810000092955306 2603577.02730000065639615, 207910.48850000050151721 2603572.44490000046789646, 207924.64709999997285195 2603564.36829999973997474, 207936.55869999952847138 2603556.2040999997407198, 207948.88810000120429322 2603545.69349999912083149, 207962.07110000099055469 2603532.553700000513345, 207976.7160999994375743 2603513.62049999972805381, 207987.70749999984400347 2603498.30170000065118074, 207994.14570000130333938 2603489.27410000097006559, 208002.1699000011140015 2603476.68830000143498182, 208005.206699999893317 2603467.37869999930262566, 208007.81769999978132546 2603455.07230000011622906, 208008.94269999943207949 2603438.69809999968856573, 208010.85349999956088141 2603423.40030000079423189, 208013.77650000006542541 2603412.31909999903291464, 208015.91469999914988875 2603403.83530000131577253, 208018.93270000029588118 2603395.874700000975281, 208023.31749999965541065 2603388.90990000125020742, 208028.62730000028386712 2603382.87629999872297049, 208038.05889999962528236 2603375.74809999903663993, 208046.49589999960153364 2603369.80550000118091702, 208053.28149999908055179 2603367.50869999965652823, 208060.79770000046119094 2603366.46490000048652291, 208066.64369999928749166 2603367.19570000004023314, 208079.58849999925587326 2603370.32729999953880906, 208101.14009999972768128 2603379.37429999886080623, 208109.7237000000604894 2603383.29989999998360872, 208123.18249999938416295 2603387.1624999986961484, 208134.8646999996562954 2603389.53009999915957451, 208146.74329999956535175 2603390.29170000087469816, 208161.20289999901433475 2603392.24929999839514494, 208174.5526999999419786 2603391.05270000034943223, 208187.05469999942579307 2603388.62390000047162175, 208201.00009999974281527 2603385.58350000064820051, 208212.68089999913354404 2603382.93809999991208315, 208226.81350000115344301 2603379.93530000001192093, 208238.26350000035017729 2603376.41169999819248915, 208251.51350000075763091 2603373.93710000161081553, 208265.65710000120452605 2603370.00410000095143914, 208277.75330000050598755 2603369.32770000072196126, 208284.98150000066380017 2603370.50009999936446548, 208298.31190000005881302 2603377.79910000134259462, 208308.22890000155894086 2603384.32729999907314777, 208314.64509999949950725 2603388.96670000022277236, 208321.66230000060750172 2603395.91889999900013208, 208327.17570000066189095 2603404.00569999916478992, 208330.37189999874681234 2603410.94549999851733446, 208331.94290000025648624 2603416.70570000121369958, 208335.0081000009085983 2603426.40550000080838799, 208334.50210000059450977 2603437.59209999954327941, 208332.16410000069299713 2603447.68869999889284372, 208326.94970000034663826 2603460.08689999952912331, 208323.9857000010961201 2603469.02370000118389726, 208319.69969999874592759 2603478.44170000031590462, 208316.34869999918737449 2603487.63170000072568655, 208308.21789999870816246 2603507.37670000176876783, 208305.15569999965373427 2603520.02309999940916896, 208305.72210000018822029 2603528.5181000018492341, 208306.15290000100503676 2603540.56590000074356794, 208310.19250000026659109 2603550.77969999937340617, 208312.11589999950956553 2603557.5181000018492341, 208314.37169999990146607 2603563.77290000021457672, 208317.06410000004689209 2603569.86690000025555491, 208320.50429999909829348 2603576.64210000075399876, 208323.35370000079274178 2603582.76170000154525042, 208329.08989999972982332 2603595.7180999992415309, 208331.66930000085267238 2603605.01450000051409006, 208332.92129999952157959 2603618.41049999976530671, 208332.79489999992074445 2603630.1714999983087182, 208331.12889999998151325 2603645.05949999857693911, 208327.75870000093709677 2603655.9775000000372529, 208323.07049999941955321 2603668.54390000039711595, 208317.33870000072056428 2603681.0973000000230968, 208314.02489999908721074 2603689.8098999997600913, 208312.84889999913866632 2603700.39389999909326434, 208313.12149999951361679 2603708.76170000061392784, 208314.0078999997349456 2603716.40649999957531691, 208316.95289999927626923 2603723.34170000115409493, 208322.55810000078054145 2603732.17710000136867166, 208327.30829999881098047 2603737.3072999999858439, 208332.05669999856036156 2603740.75290000019595027))",Q0000000240,阿里山林業鐵路阿里山線,2,,202203,11,0,TM2
"MultiLineString ((210019.11829999950714409 2604621.14849999872967601, 210016.77369999920483679 2604619.29029999999329448, 210011.33489999925950542 2604613.44569999957457185, 210007.21590000006835908 2604605.99770000018179417, 210004.84190000110538676 2604599.12489999923855066, 210003.73210000031394884 2604591.10329999914392829, 210003.24129999888828024 2604576.79690000042319298, 210003.76329999949666671 2604563.28209999902173877, 210006.36610000053769909 2604547.62049999972805381, 210010.5915000006207265 2604539.40630000084638596, 210012.38370000035502017 2604533.02490000100806355, 210014.6716999989876058 2604521.63470000028610229, 210015.81330000059097074 2604507.8681000005453825, 210014.28330000001005828 2604494.55149999912828207, 210009.81470000045374036 2604482.69609999936074018, 210001.23409999947762117 2604466.84169999975711107, 209997.29309999963152222 2604459.36569999996572733, 209991.4817000011971686 2604448.34129999997094274, 209986.02310000010766089 2604439.76510000135749578, 209985.11790000001201406 2604438.21110000135377049, 209983.22710000083316118 2604435.59850000077858567, 209983.08829999971203506 2604435.30089999968186021, 209979.75209999940125272 2604428.14890000037848949, 209974.39790000108769163 2604418.9924999987706542, 209964.87849999868194573 2604406.67830000072717667, 209953.07730000061565079 2604399.4528999999165535, 209941.75450000027194619 2604397.22650000033900142, 209928.65909999929135665 2604395.58650000020861626, 209915.22070000052917749 2604393.65410000085830688, 209901.34609999944223091 2604390.24629999976605177, 209890.25510000053327531 2604385.66389999957755208, 209880.32789999985834584 2604380.19089999888092279, 209875.90070000087143853 2604375.74690000014379621, 209870.68089999898802489 2604368.23049999913200736, 209867.34030000065104105 2604361.23609999846667051, 209865.04370000131893903 2604352.46709999907761812, 209864.52170000071055256 2604344.22010000050067902, 209866.34230000007664785 2604328.81310000130906701, 209871.30309999972814694 2604306.35769999912008643, 209873.27029999945079908 2604295.53089999966323376, 209875.06830000033369288 2604285.51630000025033951, 209874.57070000091334805 2604277.64689999958500266, 209871.37909999844850972 2604265.60870000068098307, 209868.00209999922662973 2604259.63969999877735972, 209859.20329999941168353 2604250.21770000178366899, 209847.85090000057243742 2604242.86730000004172325, 209838.6988999993482139 2604239.4632999999448657, 209826.40589999858639203 2604231.66450000088661909, 209817.21669999946607277 2604225.3529000012204051, 209806.93010000110371038 2604213.45089999912306666, 209802.75870000070426613 2604201.52690000040456653, 209800.2966999989002943 2604184.93829999957233667, 209802.67889999892213382 2604150.96770000038668513, 209808.55470000047353096 2604132.46609999984502792, 209821.2257000012032222 2604101.9036999992094934, 209827.66590000074938871 2604082.56930000009015203, 209827.88849999985541217 2604081.90069999918341637, 209829.6526999995985534 2604076.60429999930784106, 209830.83210000075632706 2604073.06350000062957406, 209835.45590000139782205 2604059.18129999982193112, 209838.37610000011045486 2604049.04629999957978725, 209843.01150000083725899 2604026.99589999858289957, 209844.97549999915645458 2603993.77910000178962946, 209842.29290000078617595 2603964.77649999968707561, 209845.61610000015934929 2603947.43249999871477485, 209853.61309999920194969 2603918.14489999925717711, 209862.34210000105667859 2603876.15929999854415655, 209866.17969999936758541 2603857.70009999955072999, 209867.42010000022128224 2603853.79490000102669001, 209868.98389999970095232 2603848.87209999840706587, 209874.59210000053280964 2603836.51330000068992376, 209878.22710000071674585 2603831.73589999973773956, 209881.06190000078640878 2603830.17589999875053763, 209887.66790000020409934 2603826.54089999850839376, 209952.93270000055781566 2603808.99469999875873327, 209981.34529999978258274 2603796.95890000183135271, 209981.48210000060498714 2603796.90110000129789114, 209982.45369999966351315 2603796.48950000014156103, 209986.81709999943268485 2603794.3906999989412725, 209999.01670000026933849 2603782.78390000015497208, 210004.84309999996912666 2603770.70649999845772982, 210008.33090000032098033 2603758.02050000103190541, 210008.34369999924092554 2603752.60310000088065863, 210000.66130000056000426 2603726.53190000029280782, 209993.72589999932097271 2603712.46230000071227551, 209981.18969999908586033 2603689.88229999970644712, 209981.05209999904036522 2603689.63469999982044101, 209970.10470000113127753 2603669.91649999981746078, 209960.19089999882271513 2603653.52129999967291951, 209941.89969999974709935 2603635.11449999921023846, 209932.32510000103502534 2603630.99449999909847975, 209920.49969999934546649 2603632.8378999987617135, 209914.38709999891580082 2603638.60830000089481473, 209892.72350000069127418 2603687.76270000031217933, 209887.45589999988442287 2603703.33129999926313758, 209874.96629999970900826 2603755.38550000172108412, 209869.70969999954104424 2603771.68109999923035502, 209864.13769999975920655 2603783.77129999967291951, 209861.08869999926537275 2603790.71010000025853515, 209858.9860999996017199 2603797.33330000098794699, 209858.46050000019022264 2603805.32349999994039536))",Q0000000247,阿里山林業鐵路阿里山線,2,,202203,0,0,TM2
"MultiLineString ((217197.60749999948893674 2600027.16110000014305115, 217170.10730000017792918 2600044.6313000014051795, 217128.34450000044307671 2600076.73549999995157123, 217113.4246999992756173 2600093.52070000022649765))",Q0000000023,阿里山林業鐵路阿里山線,2,,202203,0,0,TM2
"MultiLineString ((216202.69389999931445345 2600253.14949999935925007, 216197.73789999954169616 2600248.14810000080615282, 216188.23110000067390501 2600240.47629999881610274, 216183.48110000023734756 2600237.43590000085532665, 216178.78749999942374416 2600234.55809999955818057, 216176.18069999996805564 2600233.27349999872967601, 216175.12909999932162464 2600232.75550000090152025, 216169.70210000145016238 2600229.98249999992549419, 216147.06769999896641821 2600219.92429999960586429, 216144.69649999955436215 2600218.6898999996483326, 216142.51290000148583204 2600217.23530000075697899, 216140.72589999902993441 2600215.92509999964386225, 216138.40990000037709251 2600213.72350000077858567, 216133.06549999938579276 2600207.95570000074803829, 216129.95989999946323223 2600202.66149999853223562, 216127.70309999998426065 2600198.771700001321733, 216126.29869999981019646 2600195.51029999880120158, 216125.25789999996777624 2600191.95829999959096313, 216124.32890000031329691 2600188.62270000064745545, 216123.38749999916763045 2600184.3480999986641109, 216117.01229999994393438 2600159.36309999926015735, 216115.08250000013504177 2600155.48269999958574772, 216113.20430000009946525 2600152.11930000083521008, 216112.87950000053388067 2600151.53769999928772449, 216112.10829999949783087 2600150.45250000152736902, 216110.49369999949703924 2600148.18029999872669578, 216107.24909999861847609 2600144.72550000064074993, 216104.83970000004046597 2600142.67510000010952353, 216094.31130000087432563 2600133.9948999984189868, 216088.52290000053471886 2600129.63450000016018748, 216084.59769999896525405 2600127.22289999946951866, 216079.16029999990132637 2600124.69529999978840351, 216075.00489999982528389 2600123.38909999933093786, 216070.13230000057956204 2600122.40530000114813447, 216066.93130000040400773 2600122.24349999940022826, 216063.43590000059339218 2600122.4664999982342124, 216059.74990000011166558 2600122.67850000085309148, 216059.4586999996972736 2600122.69090000027790666, 216050.13150000089081004 2600123.09109999891370535, 216048.66930000018328428 2600122.66129999933764338, 216046.96850000007543713 2600121.69030000176280737, 216044.39509999993606471 2600119.58750000037252903, 216022.66730000061215833 2600097.81289999885484576, 216014.33330000034766272 2600089.33509999979287386, 216012.8800999999511987 2600087.53070000093430281, 216011.75450000088312663 2600085.80350000131875277, 216010.47729999953298829 2600082.89430000120773911, 216009.13870000111637637 2600079.46869999915361404, 216007.97950000071432441 2600076.21769999992102385, 216004.86849999925470911 2600062.32230000104755163, 216004.52949999991687946 2600057.27769999857991934, 216004.16990000018267892 2600050.69529999932274222, 216003.93150000058813021 2600045.02329999906942248, 216002.4720999994315207 2600032.49450000049546361, 216002.08009999943897128 2600030.64870000071823597, 216001.00970000113011338 2600027.94089999981224537, 215999.64110000018263236 2600025.33229999989271164, 215997.8973000010009855 2600023.16410000063478947, 215994.83249999998952262 2600020.74049999983981252, 215989.47290000013890676 2600019.23829999938607216, 215979.51589999897987582 2600018.00750000076368451))",Q0000000025,阿里山林業鐵路阿里山線,2,,202203,0,0,TM2
"MultiLineString ((222551.55890000055660494 2598972.51709999982267618, 222544.04989999896497466 2598983.54709999915212393, 222534.46709999916492961 2598997.82549999980255961, 222519.43550000005052425 2599019.7997000003233552, 222512.0261000013560988 2599028.10310000088065863, 222503.54229999930248596 2599036.35649999976158142, 222482.51150000060442835 2599058.75750000029802322, 222483.63509999934467487 2599079.07750000059604645, 222482.24189999961527064 2599103.37089999858289957, 222481.35489999994751997 2599114.10349999880418181, 222484.74329999944893643 2599124.13550000172108412, 222490.6481000000203494 2599133.64030000008642673, 222493.76309999989462085 2599136.20549999922513962, 222500.39170000000740401 2599144.21230000024661422, 222506.02630000014323741 2599155.16969999950379133, 222510.28469999990193173 2599174.90909999934956431, 222510.84430000025895424 2599197.04649999970570207, 222509.07689999914146028 2599211.04829999944195151, 222504.55530000117141753 2599223.61570000136271119, 222494.04230000064126216 2599243.31110000051558018, 222489.42589999962365255 2599256.00670000026002526, 222488.61449999909382313 2599265.03150000050663948, 222489.56950000062352046 2599272.41850000061094761, 222491.35129999916534871 2599278.25070000113919377, 222507.04009999902336858 2599311.65910000028088689, 222511.69850000005681068 2599325.91109999967738986, 222513.26850000029662624 2599334.71629999997094274, 222512.47030000051017851 2599350.42369999969378114, 222509.08930000066175126 2599368.49829999869689345, 222501.93029999904683791 2599400.19969999883323908, 222500.31749999956809916 2599413.87809999985620379, 222501.92150000075343996 2599419.13950000004842877, 222514.55090000113705173 2599454.46929999999701977, 222517.57290000069770031 2599465.87049999926239252, 222519.22129999959724955 2599475.6235000011511147, 222520.50310000102035701 2599486.80129999993368983, 222519.7506999998295214 2599492.30290000000968575, 222519.69689999998081475 2599492.50290000066161156, 222519.69190000029630028 2599492.52170000039041042, 222517.12330000000656582 2599502.07150000054389238, 222514.58729999978095293 2599508.63589999964460731, 222512.28669999982230365 2599514.40230000065639615, 222509.37310000148136169 2599518.51870000036433339, 222505.54030000080820173 2599522.63350000139325857, 222499.92309999963617884 2599526.87929999968037009, 222495.46689999935915694 2599529.23169999942183495, 222489.5916999994951766 2599531.13849999848753214, 222483.67330000075162388 2599532.16409999970346689, 222468.83109999902080745 2599532.72409999975934625, 222460.89029999979538843 2599531.80709999985992908, 222453.85250000050291419 2599529.71489999908953905, 222447.43009999956120737 2599526.63030000124126673, 222441.28990000096382573 2599522.20789999980479479, 222436.65069999944535084 2599516.9905000003054738, 222433.27550000071641989 2599511.97350000077858567, 222423.55189999946742319 2599492.70889999996870756, 222423.54209999990416691 2599492.68930000066757202, 222423.4413000003551133 2599492.48989999946206808, 222410.25370000052498654 2599471.29810000071302056, 222403.82469999921158887 2599462.32070000004023314, 222398.53410000030999072 2599457.02270000148564577, 222391.06970000069122761 2599452.02729999925941229, 222383.02629999915370718 2599448.71510000061243773, 222365.24510000104783103 2599444.75449999934062362, 222316.82069999928353354 2599440.13749999878928065, 222304.68389999863575213 2599441.08190000150352716, 222297.40329999951063655 2599443.4784999992698431, 222280.76829999859910458 2599451.64669999945908785, 222262.24490000068908557 2599462.56110000004991889, 222254.67249999949126504 2599466.02910000132396817, 222247.15890000003855675 2599467.87670000176876783, 222242.13169999918318354 2599468.36969999875873327, 222235.63589999923715368 2599468.00149999838322401, 222229.03390000047511421 2599466.51730000087991357, 222219.95790000021224841 2599462.0679000006057322, 222209.71549999975832179 2599454.43590000085532665, 222201.99430000025313348 2599445.5752999996766448, 222189.54370000070775859 2599425.6938999998383224, 222181.23110000003362074 2599417.88650000002235174, 222172.86810000069090165 2599412.47330000018700957, 222164.87450000061653554 2599409.84290000097826123, 222155.09469999957946129 2599409.16929999832063913, 222142.71429999981774017 2599410.95109999878332019, 222133.05810000104247592 2599414.35009999945759773, 222129.51190000073984265 2599416.22670000093057752, 222114.92389999912120402 2599425.92190000042319298, 222083.46929999941494316 2599453.83210000023245811, 222041.76670000009471551 2599493.23029999900609255, 222041.56149999998160638 2599493.43050000164657831, 222041.53909999909228645 2599493.45250000059604645, 222021.63629999940167181 2599512.87509999983012676, 222015.22189999971305951 2599517.44490000093355775, 222005.9098999997950159 2599525.08809999888762832, 222005.89730000068084337 2599525.09850000031292439))",Q0000000026,阿里山林業鐵路阿里山線,2,,202203,0,0,TM2
"MultiLineString ((221832.82629999954951927 2599623.58610000088810921, 221822.88909999950556085 2599632.76849999977275729, 221800.38269999955082312 2599650.38409999990835786, 221768.59989999906974845 2599672.1254999996162951, 221736.63790000037988648 2599693.02869999967515469, 221727.83749999984866008 2599702.36110000032931566, 221704.78490000008605421 2599734.24970000004395843, 221688.58849999922676943 2599756.14670000039041042, 221672.45609999966109172 2599770.08429999928921461, 221646.53889999931561761 2599787.96790000004693866, 221612.36209999892162159 2599810.99489999935030937, 221554.85469999915221706 2599853.95350000029429793, 221549.06430000072577968 2599862.9995000003837049, 221548.41429999977117404 2599863.68389999959617853, 221545.24310000010882504 2599868.66030000010505319, 221542.69930000064778142 2599874.05150000099092722, 221539.56790000083856285 2599882.6103000002913177, 221536.15270000020973384 2599894.37170000094920397, 221533.27310000060242601 2599906.92789999954402447, 221530.17930000054184347 2599924.69129999913275242, 221527.40209999892977066 2599944.45470000058412552, 221526.10510000088834204 2599960.23049999959766865, 221525.11430000010295771 2600002.29450000170618296, 221523.45789999992121011 2600015.28449999867007136, 221519.28550000046379864 2600029.70350000122562051, 221514.00829999992856756 2600041.15449999924749136, 221507.70209999941289425 2600050.18409999925643206, 221503.57529999877442606 2600054.1242999997921288, 221498.7721000001183711 2600057.6309000002220273, 221477.87210000128834508 2600069.81149999890476465, 221469.85370000041439198 2600075.11929999943822622, 221441.29710000054910779 2600096.68769999919459224, 221423.78369999848655425 2600110.75169999990612268, 221412.60250000102678314 2600120.54729999927803874, 221392.2921000006608665 2600138.58089999947696924))",Q0000000028,阿里山林業鐵路阿里山線,2,,202203,0,0,TM2
"MultiLineString ((217971.24070000086794607 2599854.19709999952465296, 217968.98670000096899457 2599851.85749999899417162, 217963.6472999996622093 2599847.20629999972879887, 217957.32310000073630363 2599842.66169999912381172, 217935.75470000074710697 2599830.25730000017210841, 217927.31330000050365925 2599823.9853000002913177, 217917.20090000069467351 2599814.95590000040829182, 217917.12170000054175034 2599814.88509999867528677))",Q0000000034,阿里山林業鐵路阿里山線,2,,202203,0,0,TM2
"MultiLineString ((220889.49930000049062073 2600328.86749999970197678, 220889.48770000043441541 2600328.87189999967813492, 220863.67730000059236772 2600366.76990000065416098, 220851.29189999896334484 2600389.66829999815672636, 220843.59910000130184926 2600402.53250000160187483, 220835.61770000073011033 2600413.28750000055879354, 220826.63690000091446564 2600422.78030000161379576, 220817.97329999896464869 2600429.87109999917447567, 220810.23970000018016435 2600433.69210000010207295, 220800.11189999946509488 2600436.03889999818056822, 220787.96529999925405718 2600436.45890000043436885, 220774.71929999947315082 2600435.18150000181049109, 220760.73809999992954545 2600432.43529999954625964, 220748.32589999935589731 2600428.5156999989412725, 220739.17130000062752515 2600424.02369999978691339, 220732.55870000083814375 2600419.49190000025555491, 220704.1611000006669201 2600393.23350000055506825, 220644.52269999939016998 2600315.12370000081136823))",Q0000000036,阿里山林業鐵路阿里山線,2,,202203,0,0,TM2
"MultiLineString ((229745.6205000001937151 2600481.86470000166445971, 229756.08369999926071614 2600502.05770000070333481, 229783.77550000051269308 2600554.66790000023320317, 229795.19650000066030771 2600576.39010000042617321, 229800.96589999910793267 2600587.17689999984577298, 229806.65230000103474595 2600595.66630000108852983, 229810.63970000110566616 2600600.29890000028535724, 229814.96630000037839636 2600604.35590000078082085, 229822.16949999990174547 2600609.7407000008970499, 229829.57450000054086559 2600615.08090000133961439, 229839.78149999916786328 2600623.60730000073090196, 229844.64290000018081628 2600628.92730000056326389, 229859.99710000093909912 2600657.36529999971389771, 229865.42730000021401793 2600666.28370000142604113, 229869.55130000133067369 2600669.75410000048577785, 229875.83729999884963036 2600671.91190000111237168))",Q0000000037,,2,,202008,0,0,TM2
"MultiLineString ((228693.58969999969122 2600539.96169999986886978, 228714.5148999989614822 2600590.94349999912083149, 228721.35690000024624169 2600607.63110000127926469, 228730.64649999930406921 2600620.06409999961033463, 228742.15649999916786328 2600632.1617000000551343, 228861.2256999994860962 2600723.37470000004395843, 228912.71690000034868717 2600758.12930000107735395, 229003.54109999959473498 2600823.94710000138729811, 229014.79389999996055849 2600832.19610000075772405, 229017.2759000004734844 2600833.28830000013113022))",Q0000000038,,2,,201906,0,3,TM2
"MultiLineString ((229843.8546999997633975 2600612.59750000014901161, 229851.11930000077700242 2600627.08229999989271164, 229869.21029999942402355 2600662.21470000129193068, 229872.94930000053136609 2600668.0428999993018806, 229875.83729999884963036 2600671.91190000111237168))",Q0000000039,,2,,201906,0,0,TM2
"MultiLineString ((228656.32189999881666154 2601223.56489999918267131, 228623.17509999964386225 2601233.63370000012218952, 228584.60830000042915344 2601243.29110000003129244, 228567.1934999999939464 2601244.65830000024288893, 228554.65569999904255383 2601243.31570000108331442, 228540.72549999982584268 2601238.36829999973997474, 228524.16110000055050477 2601230.87749999854713678, 228517.30549999885261059 2601226.14929999969899654, 228473.95030000020051375 2601186.93170000053942204))",Q0000000051,,2,,201906,0,3,TM2
"MultiLineString ((229537.3360999992582947 2603228.93310000002384186, 229527.05289999989327043 2603238.00930000003427267, 229518.59690000023692846 2603244.90870000002905726))",Q0000000065,阿里山林業鐵路眠月線,2,,201906,0,3,TM2
"MultiLineString ((230000.95449999888660386 2603273.06169999996200204, 229987.6030999995127786 2603265.00850000092759728, 229980.84930000087479129 2603260.68510000081732869, 229973.95290000026579946 2603257.12989999819546938, 229971.79769999958807603 2603256.2713000001385808, 229969.76490000012563542 2603255.7874999986961484, 229967.8682999997981824 2603255.69229999836534262, 229945.1962999997776933 2603258.16369999991729856, 229912.01970000012079254 2603261.87450000131502748, 229890.92030000011436641 2603263.53130000131204724, 229870.50489999976707622 2603264.90809999871999025, 229867.65510000061476603 2603264.87590000033378601, 229865.37669999949866906 2603264.15570000000298023, 229854.23210000054677948 2603258.11249999981373549, 229823.28049999952781945 2603238.23909999895840883, 229817.71730000025127083 2603235.19129999959841371, 229816.22850000043399632 2603234.61529999924823642, 229814.51850000020931475 2603234.06550000049173832, 229812.58610000065527856 2603233.74909999966621399, 229794.75169999987701885 2603233.04030000139027834, 229766.41550000122515485 2603232.43010000046342611, 229742.82890000118641183 2603230.15070000011473894, 229735.1529000008595176 2603229.23190000001341105, 229733.11769999924581498 2603228.91510000173002481, 229731.72330000062356703 2603228.83710000012069941, 229729.85250000018277206 2603228.71429999964311719, 229727.15890000120270997 2603228.7798999990336597, 229724.8161000013933517 2603229.0480999993160367, 229717.21449999912874773 2603231.00170000083744526, 229699.82790000073146075 2603235.02630000095814466, 229682.94230000072275288 2603238.49450000002980232, 229680.92489999992540106 2603238.64729999890550971, 229678.50769999990006909 2603238.65250000078231096, 229675.76830000005429611 2603238.32410000031813979, 229673.16190000023925677 2603237.66510000126436353, 229653.84690000070258975 2603233.19770000036805868, 229639.57730000029550865 2603230.16349999932572246))",Q0000000066,阿里山林業鐵路眠月線,2,,201906,0,3,TM2
"MultiLineString ((229182.1336999996274244 2603506.92830000026151538, 229181.93089999945368618 2603507.09150000009685755, 229170.12610000037238933 2603516.76390000153332949, 229146.61450000002514571 2603535.74090000055730343))",Q0000000067,阿里山林業鐵路眠月線,2,,201906,0,3,TM2
"MultiLineString ((217293.95789999992121011 2599958.54250000091269612, 217197.60749999948893674 2600027.16110000014305115))",Q0000000069,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
"MultiLineString ((215979.51589999897987582 2600018.00750000076368451, 215965.86710000061430037 2600019.10549999913200736, 215940.79690000024857 2600021.12230000086128712))",Q0000000070,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
"MultiLineString ((217113.4246999992756173 2600093.52070000022649765, 217073.09009999927366152 2600136.61270000040531158, 217032.04490000050282106 2600180.46370000019669533, 217018.41769999935058877 2600195.02250000089406967))",Q0000000071,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
"MultiLineString ((216310.56869999921764247 2600553.23050000006332994, 216202.69389999931445345 2600253.14949999935925007))",Q0000000072,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
"MultiLineString ((215163.2776999999769032 2600725.09329999890178442, 215142.91510000042035244 2600812.62349999975413084))",Q0000000073,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
"MultiLineString ((222680.32570000021951273 2598800.08489999920129776, 222680.29629999934695661 2598800.1223000013269484, 222592.45790000079432502 2598912.44050000049173832, 222551.55890000055660494 2598972.51709999982267618))",Q0000000074,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
"MultiLineString ((222005.89730000068084337 2599525.09850000031292439, 221832.90270000009331852 2599623.54269999964162707, 221832.82629999954951927 2599623.58610000088810921))",Q0000000075,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
"MultiLineString ((217917.12170000054175034 2599814.88509999867528677, 217912.35970000043744221 2599808.83649999974295497, 217909.53809999889926985 2599803.37370000034570694, 217903.14570000048843212 2599783.25789999915286899, 217892.11670000030426309 2599751.88570000091567636, 217888.60149999937857501 2599744.41070000035688281, 217884.4700999986671377 2599737.44110000040382147, 217880.96669999981531873 2599732.64929999969899654))",Q0000000076,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
"MultiLineString ((218355.38010000027134083 2600052.15190000087022781, 218318.27850000112084672 2600061.97569999983534217, 218316.03890000079991296 2600062.65049999952316284, 218311.16270000056829304 2600063.73110000137239695, 218305.8738999999477528 2600064.80210000136867166, 218301.2290999993274454 2600065.23349999915808439, 218295.22410000083618797 2600065.53549999836832285, 218287.17589999944902956 2600065.3397000003606081, 218281.14169999989098869 2600065.03109999885782599, 218274.97069999951054342 2600064.18730000033974648, 218269.11370000007445924 2600063.25469999946653843, 218264.31229999969946221 2600061.93970000091940165, 218259.5333000002137851 2600060.53349999990314245, 218245.21469999977853149 2600055.59090000111609697, 218231.96050000115064904 2600050.9905000003054738, 218227.07350000008591451 2600049.76970000052824616, 218219.77069999987725168 2600048.12670000130310655, 218215.80969999908120371 2600047.55509999860078096, 218211.83569999958854169 2600047.236500000115484, 218209.06409999931929633 2600047.19009999977424741, 218205.38649999970220961 2600047.46250000037252903, 218201.41390000109095126 2600047.95109999924898148, 218196.83489999998710118 2600048.86089999973773956, 218183.08370000138529576 2600052.34130000043660402, 218173.40630000058445148 2600054.97430000128224492, 218169.01270000069052912 2600055.4699000003747642, 218165.05269999895244837 2600055.78329999977722764, 218162.02730000042356551 2600055.6169000007212162, 218157.99290000065229833 2600055.28510000091046095, 218153.99590000079479069 2600054.57090000109747052, 218149.05650000076275319 2600053.45670000044628978, 218145.25889999989885837 2600052.16809999849647284, 218141.93150000009336509 2600050.80990000115707517, 218139.40709999995306134 2600049.44149999972432852, 218136.85150000063003972 2600047.91850000154227018, 218132.80049999887705781 2600045.00389999989420176, 218129.57470000008470379 2600042.64330000150948763, 218115.19610000125248916 2600030.89249999960884452, 218100.20229999945149757 2600018.55689999973401427, 218096.85990000062156469 2600015.58029999909922481, 218093.62449999985983595 2600012.54470000136643648, 218089.58569999982137233 2600007.97710000025108457, 218086.94570000088424422 2600004.89210000075399876, 218085.37449999956879765 2600002.36690000165253878, 218083.19989999959943816 2599998.5899000009521842, 218082.31030000018654391 2599996.22149999905377626, 218081.48529999927268364 2599993.3789000017568469, 218080.40350000071339309 2599986.23269999912008643, 218078.95409999892581254 2599977.08530000038444996, 218077.41290000014123507 2599969.22569999936968088, 218077.45049999988987111 2599969.21750000026077032, 218076.05670000071404502 2599962.37309999903663993, 218071.23309999925550073 2599955.37570000160485506, 218069.64050000050337985 2599953.00369999837130308, 218056.79590000066673383 2599939.5300999996252358, 218034.91650000130175613 2599920.2935000010766089, 217971.24070000086794607 2599854.19709999952465296))",Q0000000077,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
"MultiLineString ((221392.2921000006608665 2600138.58089999947696924, 220889.49930000049062073 2600328.86749999970197678))",Q0000000078,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
"MultiLineString ((220644.52269999939016998 2600315.12370000081136823, 220644.50849999955971725 2600315.09490000130608678, 220318.49170000071171671 2599654.11249999981373549, 220309.7576999991433695 2599636.65349999954923987))",Q0000000080,阿里山林業鐵路阿里山線,4,,202205,0,1,TM2
